smiles,Ion_Exchange_Capacity_meq_per_g
CC(C([*])=O)O[*],0.69
COC(C([*])(C[*])C)=O,8.0
[*]CC(C)[*],1.792222222
[*]CC([*])O,1.14376
[*]C(F)(C[*])F,0.947941176
[*][Si](C)(O[*])C,2.83
[*]C(C[*])C1=CC=CC=C1,1.255
[*]CCO[*],1.62
[*]C(C[*])C1=CC=CC=C1,2.444090909
[*]CC[*],0.956428571
[*]CCO[*],2.285
[*]C(C[*])C1=CC=CC=C1,2.92
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,0.86
[*]CC(Cl)[*],1.29
[*]CC(C)[*],5.803333333
[*]CC([*])(C=C)C,1.67375
FC(F)(C(F)([*])F)[*],1.946428571
[*]OCCOC(CCC([*])=O)=O,1.092142857
[*]CC([*])C#N,1.86
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],1.770909091
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],0.915
[*]CC(N1CCCC1=O)[*],0.5
[*]CC([*])C(O)=O,6.118571429
O=C1N([*])C(C2=C1C=C(C3=O)C(C(N3C4=CC=C(OC5=CC=C([*])C=C5)C=C4)=O)=C2)=O,1.535882353
[*]NCCCCCC([*])=O,1.61
[*]CCN[*],1.105
[*]NC1=CC=C([*])C=C1,1.44075
[*]C1=CC=C(S[*])C=C1,2.6
[*]C1=CC(C)=C(O[*])C(C)=C1,1.856
[*]CC(C1=CC=C(S(O)(=O)=O)C=C1)[*],2.56
[*]CC[*],1.04
[*]C1=CC=C([*])N1,1.975
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,0.0272
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],1.956428571
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,1.815
O=C1N([*])C(C2=C1C=C(C3=O)C(C(N3C4=CC=C(OC5=CC=C([*])C=C5)C=C4)=O)=C2)=O,1.508222222
[*]CC([*])(C=C)C,1.025
[*]C/C=C/C[*],0.805
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],0.397
[*]NCCCCCC([*])=O,3.09
[*]CC(C(N)=O)[*],4.9
[*]CC([*])O,1.05
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,2.53
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,1.815
[*]NC1=CC=C([*])C=C1,2.073333333
COC(C([*])(C[*])C)=O,0.99
[*]C(C[*])C1=CC=CC=C1,1.715272727
[*]CC(C(N)=O)[*],1.32
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,1.74125
FC(F)(C(F)([*])F)[*],1.023333333
[*]CC([*])O,1.1
[*]OCC[*],1.25
[*]C(C[*])C1=CC=NC=C1,6.3
[*]OC(C([*])=O)C,0.926
[*]CCO[*],1.4
[*]CC(C(O)=O)[*],4.25
[*]OCC[*],1.01
[*]OC1=CC=C(C(C2=CC=C(C(C3=CC=C([*])C=C3)=O)C=C2)=O)C=C1,2.013333333
[*]CC(C)(C(OCC1CO1)=O)[*],1.49
[*]C(C)C[*],5.803333333
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,1.245714286
[*]C(C([H])([*])[H])([H])C1=CC=CC=C1,2.444090909
[*]CC(F)([*])F,1.306666667
[*]/C=C/C1=CC=C([*])C=C1,0.91
[*]C([H])([H])C(Cl)([H])[*],3.4
[*]CC(C1=CC=CC=N1)[*],0.71
[*]C(C1=CC=CC=C1)C[*],1.45
[*]C(F)(C(F)(C(F)(C(F)([*])F)OC(F)(F)C(F)(F)C(F)(F)F)F)F,3.3
[*]CC(CC(C)C)[*],1.106666667
[*]OC1=CC=C(S(=O)(C2=CC=C([*])C=C2)=O)C=C1,3.37
[*]CC(C)(C(O)=O)[*],10.5
