smiles,Limiting_Oxygen_Index_percentage
CC(C([*])=O)O[*],24.93261803
COC(C([*])(C[*])C)=O,18.22041667
[*]OCCCCCC([*])=O,25.0
[*]CC(C)[*],23.29348659
[*]CC([*])O,22.67159091
[*]C(F)(C[*])F,33.9
CC(C([*])=O)O[*],22.16666667
[*][Si](C)(O[*])C,25.4
[*]C(C[*])C1=CC=CC=C1,20.07826087
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,25.07375
[*]CCO[*],14.86666667
[*]C(C[*])C1=CC=CC=C1,27.19166667
[*]CC[*],19.97777778
[*]CCO[*],31.08333333
[*]C(C[*])C1=CC=CC=C1,19.95
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,28.566875
[*]CC(Cl)[*],28.11842105
[*]CC(C)[*],26.91155556
[*]CC([*])(C=C)C,40.51111111
FC(F)(C(F)([*])F)[*],95.0
[*]NCCCCCC([*])=O,25.17164179
[*]CC([*])C#N,21.01304348
CC(CC([*])=O)O[*],23.9
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],28.1
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,26.91029412
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],23.2
[*]CC([*])C(O)=O,19.73333333
[*]CC[*],21.725
O=C1N([*])C(C2=C1C=C(C3=O)C(C(N3C4=CC=C(OC5=CC=C([*])C=C5)C=C4)=O)=C2)=O,32.7
[*]OCCCCOC(C1=CC=C(C([*])=O)C=C1)=O,22.73095238
[*]NCCCCCC([*])=O,28.66153846
[*]CCN[*],38.0
[*]NC1=CC=C([*])C=C1,30.76666667
[*]OCCCCOC(CCC([*])=O)=O,25.03148148
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,26.83891892
[*]C1=CC=C(S[*])C=C1,25.2
[*]CC[*],21.98571429
[*]C1=CC(C)=C(O[*])C(C)=C1,28.32222222
[*]CC(C)[*],20.0
[*]CC[*],19.3
[*]C1=CC=C([*])N1,20.0
[*]C(C1=CC=C(C(OCCCO[*])=O)C=C1)=O,24.44285714
COC(C([*])(C[*])C)=O,17.0
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,29.35714286
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],22.84533333
OC1C([*])C(CO)OC(O[*])C1O,30.93333333
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],28.96
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,25.73333333
[*]CC([*])(C=C)C,20.4625
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,24.05
[*]C/C=C/C[*],24.25
[*]NCCCCCC([*])=O,35.375
CC(C([*])=O)O[*],28.7
[*]NCCCCCC([*])=O,26.4375
[*]CC([*])O,24.275
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,25.93
[*]CC[*],21.8125
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,25.73333333
[*]NC1=CC=C([*])C=C1,25.0
COC(C([*])(C[*])C)=O,27.5
[*]C([H])(O[*])[H],20.425
[*]C(C[*])C1=CC=CC=C1,18.25
[*]NCCCCCC([*])=O,26.5
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,26.7125
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,32.85
[*]CC(O)[*],24.53333333
[*]CC(C)[*],35.0
FC(F)(C(F)([*])F)[*],95.0
[*]CCO[*],33.5
[*]C1=CC=C([*])N1,18.0
[*]CC([*])O,20.5
[*]CC([*])C#N,29.84444444
[*]CC(C#N)[*],29.84444444
[*]OCC[*],32.35
[*]C(C)C(O[*])=O,28.5
[*]CC(C)([*])C,53.5
CC(C)([*])C1=CC=C(OCN(C(C=C4)=CC=C4OC3=CC=C(N5COC(C=CC([*])=C6)=C6C5)C=C3)C2)C2=C1,30.5
[*]OC(C([*])=O)C,24.05
[*]CC(C)(C(OCC1CO1)=O)[*],24.25
[*]C(C1=CC=C(C(OCCO[*])=O)C=C1)=O,22.16666667
[*]C2=NC1=CC(N=C(C4=CC=C([*])C=C4)O3)=C3C=C1O2,68.0
[*]C(C)C[*],26.91155556
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,26.625
[*]C(C([H])([*])[H])([H])C1=CC=CC=C1,27.19166667
[*]NCCCCCC([*])=O,22.53333333
[*]C([H])([H])C([H])([H])[*],19.2
[*]C/C(C)=C/C[*],17.0
[*]OC([H])(C)C([*])=O,26.0
[*]N(CCCCCC([*])=O)[H],23.84
[*]C(C)C(O[*])=O,28.7
C/C(C[*])=C(C[*])\[H],18.6
[*]C([H])([H])C(Cl)([H])[*],31.7
[*]N([H])CCCCCC([*])=O,24.0
[*]C([H])([H])C([H])([H])[*],27.1
[*]C(C[*])C1=CC=CC=C1,26.36785714
