smiles,Upper_Critical_Solution_Temperature_K
CC(C([*])=O)O[*],530.65
COC(C([*])(C[*])C)=O,376.5785714
[*]OCCCCCC([*])=O,322.8166667
[*]CC(C)[*],302.65
[*]CC([*])O,283.15
[*]C(F)(C[*])F,380.65
CC(C([*])=O)O[*],513.15
[*][Si](C)(O[*])C,304.95
[*]C(C[*])C1=CC=CC=C1,371.4833333
[*]CCO[*],409.95
[*]CC(C(NC(C)C)=O)[*],305.6583333
[*]C(C[*])C1=CC=CC=C1,308.86
[*]CC[*],380.65
[*]CCO[*],325.23
[*]C(C[*])C1=CC=CC=C1,420.15
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,358.15
[*]CC(C(NC(C)C)=O)[*],305.15
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,358.15
[*]CC(N1CCCC1=O)[*],293.57
[*]C1=C(CCCCCC)C=C([*])S1,305.65
[*]CC([*])C(O)=O,299.15
[*]CCN[*],376.4833333
[*]C1=CC=C(S[*])C=C1,500.15
[*]C1=CC(C)=C(O[*])C(C)=C1,398.15
[*]CC(C1=CC=C(S(O)(=O)=O)C=C1)[*],308.15
[*]CC(C)[*],448.15
[*]CC[*],389.65
COC(C([*])(C[*])C)=O,318.35
[*]CC(C)(C(OCCN(C)C)=O)[*],311.8
[*]CC(C(NC(C)C)=O)[*],305.6583333
[*]CC(C(OCCCC)=O)[*],310.9
O=C1N([*])C(C2=C1C=C(C3=O)C(C(N3C4=CC=C(OC5=CC=C([*])C=C5)C=C4)=O)=C2)=O,523.15
[*]CC(C(N)=O)[*],271.15
[*]CC(C(N)=O)[*],297.47
[*]CC[*],419.15
COC(C([*])(C[*])C)=O,303.15
[*]C(C[*])C1=CC=CC=C1,508.15
[*]CC(C(N)=O)[*],273.15
[*]CC(C)(C(O)=O)[*],291.15
[*]CC(C)(C(OCCO)=O)[*],333.15
[*]CC(C(NC(C)C)=O)[*],319.65
[*]CC(OC)[*],308.15
[*]CC(C)([*])C,297.4833333
[*]CCO[*],288.15
[*]CC(C(O)=O)[*],313.15
[*][Si](C)(C)O[*],325.8166667
[*]OCC(C)O[*],308.15
[*]CC(C)(C(OCC1CO1)=O)[*],308.15
[*]C(C([H])([*])[H])([H])C1=CC=CC=C1,308.86
[*]CC(C(NC(C)C)=O)[*],304.0833333
O=C1CCCCCN1C([*])C[*],309.15
[*]C1=CC(CCCCCCCC)=C(C2=C(CCCCCCCC)C=C([*])C=C2)C=C1,308.65
[*]CC(C(NC(C)C)=O)[*],305.6583333
[*]CC(CC(C)C)[*],353.15
[*]CC(C(NC(C)C)=O)[*],305.15
[*]CC(C)(C(O)=O)[*],298.95
[*]CC(N1C(CCCCC1)=O)[*],309.15
