smiles,Bandgap_eV
CC(C([*])=O)O[*],4.0686
COC(C([*])(C[*])C)=O,4.25109375
[*]OCCCCCC([*])=O,1.595
[*]CC(C)[*],2.323333333
[*]CC([*])O,4.348959677
[*]C(F)(C[*])F,3.899033333
[*][Si](C)(O[*])C,3.414285714
[*]C(C[*])C1=CC=CC=C1,3.559047619
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,3.354090909
[*]CCO[*],4.328095238
[*]CC(C(NC(C)C)=O)[*],1.8075
[*]C(C[*])C1=CC=CC=C1,3.022
[*]CC[*],5.572727273
[*]CCO[*],3.454444444
[*]C(C[*])C1=CC=CC=C1,3.758
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,2.634482759
[*]CC(Cl)[*],4.029038462
[*]CC(C)[*],5.56
[*]CC([*])(C=C)C,2.594166667
FC(F)(C(F)([*])F)[*],4.938333333
[*]OCCOC(CCC([*])=O)=O,3.2925
[*]NCCCCCC([*])=O,5.1
[*]CC([*])C#N,2.795
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],4.018888889
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,3.27
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],3.29
[*]CC(N1CCCC1=O)[*],3.421944444
[*]C1=C(CCCCCC)C=C([*])S1,1.921376335
[*]CC([*])C(O)=O,2.612
[*]CC[*],4.3
O=C1N([*])C(C2=C1C=C(C3=O)C(C(N3C4=CC=C(OC5=CC=C([*])C=C5)C=C4)=O)=C2)=O,2.769473684
[*]OCCCCOC(C1=CC=C(C([*])=O)C=C1)=O,1.841666667
[*]NCCCCCC([*])=O,2.051055556
[*]CCN[*],1.978571429
[*]NC1=CC=C([*])C=C1,2.635485437
[*]OCCCCOC(CCC([*])=O)=O,0.895140244
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,2.946
[*]C1=CC=C(S[*])C=C1,2.7875
[*]CC[*],2.7
O=C(O[*])C1=CC(C=CC(C(OCC[*])=O)=C2)=C2C=C1,3.33
[*]CC(C1=CC=C(S(O)(=O)=O)C=C1)[*],2.014736842
[*]CC(C)[*],6.3
[*]CC[*],2.265
[*]C1=CC=C([*])N1,2.438885647
[*]C(C1=CC=C(C(OCCCO[*])=O)C=C1)=O,1.424166667
COC(C([*])(C[*])C)=O,1.905
[*]C1=C2C(OCCO2)=C([*])S1,1.659386503
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,3.51
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],3.270833333
[*]CC([*])OC(C)=O,4.4673
[*]CC(C(NC(C)C)=O)[*],1.8075
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,2.746666667
O=C1N([*])C(C2=C1C=C(C3=O)C(C(N3C4=CC=C(OC5=CC=C([*])C=C5)C=C4)=O)=C2)=O,2.392777778
[*]CC([*])(C=C)C,3.105
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,3.75
[*]C/C=C/C[*],1.9025
[*][Si](C)(O[*])C,2.343333333
[*]OCCCCCC([*])=O,2.69
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],2.105
[*]NCCCCCC([*])=O,2.948333333
[*]CC(C(N)=O)[*],3.99675
[*]CC([*])O,2.8
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,3.725
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,2.746666667
[*]NC1=CC=C([*])C=C1,2.58490566
COC(C([*])(C[*])C)=O,2.933333333
[*]C([H])(O[*])[H],3.3
[*]C(C[*])C1=CC=CC=C1,2.355
[*]NCCCCCC([*])=O,2.97
[*]CC(C)(C(O)=O)[*],2.56
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,4.1
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,3.0175
FC(F)(C(F)([*])F)[*],3.4
[*]C1=CC=C([*])N1,2.394166667
[*]CC([*])O,3.348181818
[*]CC([*])C#N,2.57
[*]CC(C#N)[*],2.57
[*]OCC[*],3.3975
[*]C(C)C(O[*])=O,3.37
[*]CC(C)([*])C,2.0
[*]C(C[*])C1=CC=NC=C1,5.213333333
[*]C1=CC=C([*])S1,1.930137168
[*]CCO[*],2.53
[*][Si](C)(C)O[*],3.6
[*]OCCCCCC([*])=O,3.0
[*]C(C1=CC=C(C(OCCO[*])=O)C=C1)=O,2.75
[*]C2=NC1=CC(N=C(C4=CC=C([*])C=C4)O3)=C3C=C1O2,2.484
[*]C(C)C[*],5.56
[*]C(C([H])([*])[H])([H])C1=CC=CC=C1,3.022
[*]NCCCCCC([*])=O,2.963333333
O=C([*])C1=CC=C(C(OCCCO[*])=O)O1,2.5225
[*]C([H])([H])C([H])([H])[*],3.03
[*]C1=C(OC)C=C(/C=C/[*])C(OCC(CC)CCCC)=C1,2.144081633
[*]CC(F)([*])F,3.366666667
[*]/C=C/C1=CC=C([*])C=C1,2.381037736
[*]OC([H])(C)C([*])=O,2.27
[*]C(C[*])N1C3=C(C=CC=C3)C2=C1C=CC=C2,3.494
[*]CC(C(N(C)C)=O)[*],2.432489466
[*]CC(C)(C(OC)=O)[*],2.843333333
[*]C([H])([H])C(F)([*])F,1.525
OC1=C(O)C([*])=C2C(NC=C2)=C1[*],2.35
[*]C1=CC(CCCCCCCC)=C(C2=C(CCCCCCCC)C=C([*])C=C2)C=C1,2.932222222
[*]C1=C(CCCCCC)C=C([*])S1,1.887553191
[*]C([H])([H])C(Cl)([H])[*],3.063333333
[*]C(C1=CC=CC=C1)C[*],2.67
C[Si]([*])(CCCC#N)O[*],2.686597222
[*]CC(C(NC(C)C)=O)[*],1.8075
[*]C(F)(C(F)(C(F)(C(F)([*])F)OC(F)(F)C(F)(F)C(F)(F)F)F)F,2.905
[*]CC(CC(C)C)[*],4.245
[*]OC1=CC=C(S(=O)(C2=CC=C([*])C=C2)=O)C=C1,2.523333333
[*]OCCCCCC([*])=O,2.69
