smiles,Hardness_MPa
CC(C([*])=O)O[*],180.3363636
COC(C([*])(C[*])C)=O,286.527381
[*]OCCCCCC([*])=O,162.5454545
[*]CC(C)[*],100.3904762
[*]CC([*])O,127.2666667
[*]C(F)(C[*])F,92.38133333
CC(C([*])=O)O[*],171.6666667
[*][Si](C)(O[*])C,3.71
[*]C(C[*])C1=CC=CC=C1,166.4266667
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,202.5238095
[*]CCO[*],322.0
[*]C(C[*])C1=CC=CC=C1,234.125
[*]CC[*],65.25
[*]CCO[*],600.0
[*]C(C[*])C1=CC=CC=C1,85.5
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,250.25
[*]CC(Cl)[*],47.6
[*]CC(C)[*],152.4742857
[*]CC([*])(C=C)C,891.1666667
FC(F)(C(F)([*])F)[*],88.30444444
[*]OCCOC(CCC([*])=O)=O,55.94666667
[*]NCCCCCC([*])=O,110.0
[*]CC([*])C#N,90.43008267
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],498.462
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,209.1666667
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],8166.666667
[*]CC(N1CCCC1=O)[*],1653.333333
[*]C1=C(CCCCCC)C=C([*])S1,364.5
[*]CC([*])C(O)=O,365.0
[*]CC[*],56.90588235
O=C1N([*])C(C2=C1C=C(C3=O)C(C(N3C4=CC=C(OC5=CC=C([*])C=C5)C=C4)=O)=C2)=O,437.0
[*]OCCCCOC(C1=CC=C(C([*])=O)C=C1)=O,136.6666667
[*]NCCCCCC([*])=O,1041.333333
[*]NC1=CC=C([*])C=C1,2425.0
[*]OCCCCOC(CCC([*])=O)=O,115.75
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,290.025
[*]CC[*],24.35
O=C(O[*])C1=CC(C=CC(C(OCC[*])=O)=C2)=C2C=C1,523.3333333
[*]CC(C1=CC=C(S(O)(=O)=O)C=C1)[*],293.3333333
[*]CC(C)[*],100.0
[*]CC[*],133.6777778
[*]C1=CC=C([*])N1,1265.12
COC(C([*])(C[*])C)=O,291.25
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,316.4285714
OC1C([*])C(CO)OC(O[*])C1O,838.3333333
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],143.3333333
[*]CC([*])OC(C)=O,200.0
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,352.2857143
[*]C/C=C/C[*],121.0685
[*][Si](C)(O[*])C,525.0
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],400.0
[*]NCCCCCC([*])=O,2500.0
[*]CC(C(N)=O)[*],6.665
[*]CC(C(N)=O)[*],48.72235
[*]NCCCCCC([*])=O,178.5
[*]CC([*])O,500.0
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,1000.0
[*]NC1=CC=C([*])C=C1,13666.66667
[*]CC(C(N)=O)[*],950.0
[*]NCCCCCC([*])=O,90.0
[*]CC(C)(C(OCCO)=O)[*],400.0
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,71.5
[*]C(CC(O[*])C)=O,190.0
[*]CC(C)[*],125.0
[*]C(CO[*])=O,588.2
[*]C(C[*])C1=CC=NC=C1,425.0
CC(C)([*])C1=CC=C(OCN(C(C=C4)=CC=C4OC3=CC=C(N5COC(C=CC([*])=C6)=C6C5)C=C3)C2)C2=C1,488.5
[*]OC1=CC=C(C(C2=CC=C(C(C3=CC=C([*])C=C3)=O)C=C2)=O)C=C1,412.3333333
[*]C(C1=CC=C(C(OCCO[*])=O)C=C1)=O,3250.0
[*]C(C)C[*],152.4742857
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,290.0
[*]C(C([H])([*])[H])([H])C1=CC=CC=C1,234.125
O=C([*])C1=CC=C(C(OCCCO[*])=O)O1,152.5
[H][C@@]1(C[*])C([H])(CO)O[C@](CO[*])([H])[C@@]([H])(NC(C)=O)[C@@](O)1[H],332.6523333
[*]C([H])([H])C([H])([H])[*],53.86666667
[*]C1=C(OC)C=C(/C=C/[*])C(OCC(CC)CCCC)=C1,370.0
[*]CC(F)([*])F,92.53333333
[*]/C=C/C1=CC=C([*])C=C1,82.68333333
[*]N(CCCCCC([*])=O)[H],2600.0
[*]CC(C)(C(OC)=O)[*],4247.666667
[*]C([H])([H])C(F)([*])F,100.0
C/C(C[*])=C(C[*])\[H],157.6
C[Si]([*])(CCCC#N)O[*],168.0
[*]C(C[*])C1=CC=CC=C1,2700.0
[*]N([H])CCCCCC([*])=O,80.0
