smiles,Methanol_Permeability_cm2_per_s
[*]CC([*])O,7.75e-07
[*]C(F)(C[*])F,1.1e-06
[*]CC[*],7e-07
[*]CC(Cl)[*],1e-06
[*]CC([*])(C=C)C,1e-07
FC(F)(C(F)([*])F)[*],6.8e-07
[*]CC([*])C#N,7e-07
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],1.35e-06
[*]CC(N1CCCC1=O)[*],2.26e-07
[*]CC([*])C(O)=O,6.4e-07
[*]NC1=CC=C([*])C=C1,1.71e-06
[*]C1=CC(C)=C(O[*])C(C)=C1,8.32e-08
[*]CC[*],7.49e-07
[*]CC(C(NC(C)C)=O)[*],4e-07
[*]C1=C2C(OCCO2)=C([*])S1,1.44e-06
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,3e-08
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],4.79e-07
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],5.64e-07
[*]CC(C(NC(C)C)=O)[*],4e-07
[*]CC([*])O,1.24e-06
[*]NC1=CC=C([*])C=C1,7.6e-07
[*]CC(C)(C(O)=O)[*],4.41e-06
[*]C(CO[*])=O,5.8e-07
[*]CC([*])O,1.89e-07
[*]C(C[*])C1=CC=NC=C1,1.39e-07
CC(C)([*])C1=CC=C(OCN(C(C=C4)=CC=C4OC3=CC=C(N5COC(C=CC([*])=C6)=C6C5)C=C3)C2)C2=C1,5.8e-08
[*]CC(C(O)=O)[*],3.9e-08
OC1=C(O)C([*])=C2C(NC=C2)=C1[*],2.65e-06
[*]CC(C1=CC=CC=N1)[*],1.54e-06
[*]OC1=CC=C(S(=O)(C2=CC=C([*])C=C2)=O)C=C1,9.1e-10
