smiles,Impact_Strength_kJ_per_m2
CC(C([*])=O)O[*],12.30395299
COC(C([*])(C[*])C)=O,17.358
[*]OCCCCCC([*])=O,21.34285714
[*]CC(C)[*],10.39060317
[*]CC([*])O,30.0
[*]C(F)(C[*])F,16.154
CC(C([*])=O)O[*],12.79176471
[*][Si](C)(O[*])C,8.0
[*]C(C[*])C1=CC=CC=C1,4.51125
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,6.945555556
[*]CCO[*],18.3
[*]C(C[*])C1=CC=CC=C1,11.25833333
[*]CC[*],33.75
[*]CCO[*],6.69
[*]C(C[*])C1=CC=CC=C1,20.84285714
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,25.98478261
[*]CC(Cl)[*],8.218214286
[*]CC(C)[*],19.38333333
[*]CC([*])(C=C)C,276.825
FC(F)(C(F)([*])F)[*],18.4
[*]OCCOC(CCC([*])=O)=O,3.4
[*]NCCCCCC([*])=O,18.76393939
[*]CC([*])C#N,1.036666667
CC(CC([*])=O)O[*],35.66666667
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],139.0
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,14.00035294
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],7.9
[*]CC[*],14.49916667
[*]OCCCCOC(C1=CC=C(C([*])=O)C=C1)=O,22.6225
[*]NCCCCCC([*])=O,12.575
[*]CCN[*],50.79
[*]OCCCCOC(CCC([*])=O)=O,9.351428571
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,12.63520833
[*]C1=CC=C(S[*])C=C1,37.6975
[*]CC[*],38.08833333
O=C(O[*])C1=CC(C=CC(C(OCC[*])=O)=C2)=C2C=C1,127.3333333
[*]C1=CC(C)=C(O[*])C(C)=C1,6.7
[*]CC(C)[*],18.22214286
[*]CC[*],69.80125
[*]C(C1=CC=C(C(OCCCO[*])=O)C=C1)=O,10.56666667
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,46.8
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],18.05
OC1C([*])C(CO)OC(O[*])C1O,12.29666667
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],27.455
[*]CC(C(OCCCC)=O)[*],3.9
[*]CC([*])(C=C)C,30.34
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,15.52785714
[*]C/C=C/C[*],9.98
CC(C([*])=O)O[*],63.2
[*]NCCCCCC([*])=O,11.865
[*]NCCCCCCCCCCCC([*])=O,30.575
CC(C([*])=O)O[*],3.914615385
[*]NCCCCCC([*])=O,28.84
[*]CC([*])O,30.0
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,9.525
[*]CC[*],19.83333333
[*]C/C=C/C[*],7.75
[*]C([H])(O[*])[H],13.5925
[*]C(C[*])C1=CC=CC=C1,5.55
[*]NCCCCCC([*])=O,10.465
[*]NCCCCCC([*])=O,5.078
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,21.57214286
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,4.1475
[*]NCCCCCCCCCCC([*])=O,31.53166667
[*]C(CC(O[*])C)=O,96.0
[*]CC(C)[*],29.8725
[*]C(CO[*])=O,22.17333333
[*]CCO[*],16.88428571
[*]C(C)C(O[*])=O,25.555
CC(C)([*])C1=CC=C(OCN(C(C=C4)=CC=C4OC3=CC=C(N5COC(C=CC([*])=C6)=C6C5)C=C3)C2)C2=C1,6.03
[*]OC(C([*])=O)C,23.196
[*]CCO[*],12.7
[*]OCC[*],9.8
[*]C2=NC1=CC(N=C(C4=CC=C([*])C=C4)O3)=C3C=C1O2,54.99333333
[*]C(C)C[*],19.38333333
[*]OC(C1=CC=C(C(OCC[*])=O)O1)=O,9.0
[*]C(C([H])([*])[H])([H])C1=CC=CC=C1,11.25833333
[*]NCCCCCC([*])=O,24.725
O=C([*])C1=CC=C(C(OCCCO[*])=O)O1,3.1
[*]C([H])([H])C([H])([H])[*],48.66666667
[*]CC(F)([*])F,6.1
[*]N(CCCCCC([*])=O)[H],54.9
[*]C(C)C(O[*])=O,3.914615385
C/C(C[*])=C(C[*])\[H],21.45
[*]C([H])([H])C(Cl)([H])[*],6.033333333
[*]OC1=CC=C(S(=O)(C2=CC=C([*])C=C2)=O)C=C1,15.0
[*]N([H])CCCCCC([*])=O,11.2
[*]C([H])([H])C([H])([H])[*],100.1
[*]C(C[*])C1=CC=CC=C1,11.4
