smiles,Lower_Critical_Solution_Temperature_K
CC(C([*])=O)O[*],309.59
COC(C([*])(C[*])C)=O,481.9625
[*]OCCCCCC([*])=O,311.1588235
[*]CC(C)[*],354.9
[*]CC([*])O,340.35
[*]C(F)(C[*])F,441.2928571
CC(C([*])=O)O[*],305.9
[*][Si](C)(O[*])C,314.3
[*]C(C[*])C1=CC=CC=C1,359.5785714
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,305.15
[*]CCO[*],369.1387097
[*]CC(C(NC(C)C)=O)[*],305.1784152
[*]C(C[*])C1=CC=CC=C1,314.0944444
[*]CC[*],388.15
[*]CCO[*],331.8865591
[*]C(C[*])C1=CC=CC=C1,418.01
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,353.05
[*]CC(Cl)[*],306.15
[*]CC(C)[*],305.15
[*]CC([*])(C=C)C,319.6166667
[*]OCCOC(CCC([*])=O)=O,348.15
[*]NCCCCCC([*])=O,518.15
[*]CC(C(NC(C)C)=O)[*],305.1732828
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],306.75
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],312.9833333
[*]CC(N1CCCC1=O)[*],309.5785714
[*]C1=C(CCCCCC)C=C([*])S1,322.15
[*]CC([*])C(O)=O,306.7722222
O=C1N([*])C(C2=C1C=C(C3=O)C(C(N3C4=CC=C(OC5=CC=C([*])C=C5)C=C4)=O)=C2)=O,305.15
[*]OCCCCOC(C1=CC=C(C([*])=O)C=C1)=O,305.15
[*]NCCCCCC([*])=O,318.9833333
[*]CCN[*],311.9
[*]OCCCCOC(CCC([*])=O)=O,473.15
[*]C1=CC(C)=C(O[*])C(C)=C1,295.575
[*]CC(C1=CC=C(S(O)(=O)=O)C=C1)[*],328.15
[*]CC(C)[*],422.15
[*]C1=CC=C([*])N1,315.65
COC(C([*])(C[*])C)=O,466.9
[*]CC(C(NC(C)C)=O)[*],305.15
[*]C1=C2C(OCCO2)=C([*])S1,303.15
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,309.45
OC1C([*])C(CO)OC(O[*])C1O,303.0875
[*]CC(C)(C(OCCN(C)C)=O)[*],315.8827189
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],309.15
[*]CC([*])OC(C)=O,310.825
[*]CC(C(NC(C)C)=O)[*],305.1784152
[*]CC(C(OCCCC)=O)[*],301.9
[*]CC([*])(C=C)C,300.15
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,311.8166667
[*][Si](C)(O[*])C,305.15
[*]OCCCCCC([*])=O,307.25
[*]OCCCOC([*])=O,308.8166667
CC(C([*])=O)O[*],309.55
[*]CC(C(NC(C)C)=O)[*],305.15
[*]NCCCCCC([*])=O,314.15
[*]CC(C(N)=O)[*],307.525
[*]CC(C)(C(OCCCC)=O)[*],374.65
[*]CC(C(N)=O)[*],305.7833333
[*]CC([*])O,305.65
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,305.15
COC(C([*])(C[*])C)=O,293.05
[*]C([H])(O[*])[H],311.15
[*]NCCCCCC([*])=O,309.15
[*]CC(C(N)=O)[*],315.7333333
[*]CC(C)(C(O)=O)[*],312.6
[*]CC(C(NC(C)C)=O)[*],305.5258824
[*]CC(C)(C(OCCO)=O)[*],313.4625
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,294.1
[*]CC(O)[*],311.15
[*]CC(C(NC(C)C)=O)[*],305.8458333
[*]C(CC(O[*])C)=O,310.65
[*]C(CO[*])=O,322.65
[*]CC(C)(C(OCC)=O)[*],333.8166667
[*]C1=CC=C([*])N1,301.15
[*]OCC[*],331.7666667
[*]C(C)C(O[*])=O,312.7833333
[*]CC(OC)[*],308.51
[*]CC(C)([*])C,455.55
[*]C(C[*])C1=CC=NC=C1,289.975
[*]C1=CC=C([*])S1,328.15
[*]C(C(NC(C)C)=O)C[*],305.15
[*]OC(C([*])=O)C,314.15
[*]CCO[*],369.5875
[*]CC(C(O)=O)[*],307.5333333
[*]OCC(C)O[*],304.5428571
[*]OCC[*],331.65
[*]OCCCCCC([*])=O,310.65
[*]CC(C)(C(OCC1CO1)=O)[*],307.95
[*]C(C1=CC=C(C(OCCO[*])=O)C=C1)=O,305.15
[*]C(C)C[*],305.15
[*]C(C([H])([*])[H])([H])C1=CC=CC=C1,314.0944444
[H][C@@]1(C[*])C([H])(CO)O[C@](CO[*])([H])[C@@]([H])(NC(C)=O)[C@@](O)1[H],303.15
[*]CC(F)([*])F,309.15
[*]CC(C(NC(C)C)=O)[*],305.3563636
O=C1CCCCCN1C([*])C[*],307.0952174
[*]CC(C(NC(C)C)=O)[*],305.2630435
[*]CC(C(N(C)C)=O)[*],362.0646342
[*]CC(C)(C(OC)=O)[*],305.15
OC1=C(O)C([*])=C2C(NC=C2)=C1[*],303.55
[*]CC(C1=CC=CC=N1)[*],305.15
[*]CC(C(NC(C)C)=O)[*],305.1784152
[*]CC(CC(C)C)[*],299.9
[*]CC(C(NC(C)C)=O)[*],305.1732828
[*]CC(C)(C(O)=O)[*],311.6611111
[*]C(C(NC(C)C)=O)C[*],305.15
[*]CC(N1C(CCCCC1)=O)[*],306.5462651
[*]OCCCCCC([*])=O,307.25
