smiles,Water_Uptake_percentage
CC(C([*])=O)O[*],3.404259259
COC(C([*])(C[*])C)=O,1.764117647
[*]OCCCCCC([*])=O,38.81516129
[*]CC(C)[*],1.665727273
[*]CC([*])O,83.66650794
[*]C(F)(C[*])F,29.09318182
CC(C([*])=O)O[*],18.84666667
[*][Si](C)(O[*])C,6.39
[*]C(C[*])C1=CC=CC=C1,45.28285714
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,29.25933333
[*]CCO[*],76.372
[*]CC(C(NC(C)C)=O)[*],149.2833333
[*]C(C[*])C1=CC=CC=C1,18.85
[*]CC[*],31.539
[*]CCO[*],226.6846154
[*]C(C[*])C1=CC=CC=C1,40.5
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,2.58875
[*]CC(Cl)[*],5.721666667
[*]CC(C)[*],1.7875
[*]CC([*])(C=C)C,1.2525
FC(F)(C(F)([*])F)[*],4.995
[*]OCCOC(CCC([*])=O)=O,39.19083333
[*]NCCCCCC([*])=O,5.911111111
[*]CC([*])C#N,56.715
[*]CC(C(NC(C)C)=O)[*],80.95
CC(CC([*])=O)O[*],2.66
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],96.64533333
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,1.850153846
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],60.86666667
[*]CC(N1CCCC1=O)[*],73.4875
[*]CC([*])C(O)=O,312.6666667
[*]CC[*],0.64821875
O=C1N([*])C(C2=C1C=C(C3=O)C(C(N3C4=CC=C(OC5=CC=C([*])C=C5)C=C4)=O)=C2)=O,1.610416667
[*]OCCCCOC(C1=CC=C(C([*])=O)C=C1)=O,0.334
[*]NCCCCCC([*])=O,10.065
[*]CCN[*],22.67466667
[*]NC1=CC=C([*])C=C1,33.33555556
[*]OCCCCOC(CCC([*])=O)=O,5.351888889
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,7.268888889
[*]C1=CC=C(S[*])C=C1,0.515
[*]CC[*],3.311666667
[*]C1=CC(C)=C(O[*])C(C)=C1,33.37916667
[*]CC(C1=CC=C(S(O)(=O)=O)C=C1)[*],80.0
[*]CC[*],11.67366667
[*]C1=CC=C([*])N1,48.54
COC(C([*])(C[*])C)=O,1.373333333
[*]C1=C2C(OCCO2)=C([*])S1,16.6
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,0.157
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],176.64375
OC1C([*])C(CO)OC(O[*])C1O,34.90230769
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],73.205
[*]CC([*])OC(C)=O,234.8333333
[*]CC(C(NC(C)C)=O)[*],149.2833333
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,35.15090909
[*]CC(C(OCCCC)=O)[*],7.62
O=C1N([*])C(C2=C1C=C(C3=O)C(C(N3C4=CC=C(OC5=CC=C([*])C=C5)C=C4)=O)=C2)=O,0.997
[*]CC([*])(C=C)C,76.27
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,15.23333333
[*]C/C=C/C[*],30.0
[*][Si](C)(O[*])C,2.565
[*]OCCCCCC([*])=O,1.75
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],185.1333333
[*]OCCCOC([*])=O,12.765
[*]NCCCCCC([*])=O,12.66363636
[*]NCCCCCCCCCCCC([*])=O,1.0
[*]CC(C(N)=O)[*],1131.84
[*]CC(C)(C(OCCCC)=O)[*],6.7
[*]CC(C(N)=O)[*],39.09
CC(C([*])=O)O[*],0.8
[*]NCCCCCC([*])=O,44.61666667
[*]CC([*])O,171.0
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,31.0
[*]CC[*],1.92
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,35.15090909
[*]NC1=CC=C([*])C=C1,9.8
COC(C([*])(C[*])C)=O,8.46
[*]C([H])(O[*])[H],3.0
[*]C(C[*])C1=CC=CC=C1,4.7
[*]NCCCCCC([*])=O,5.224375
[*]CC(C)(C(O)=O)[*],22.5
[*]NCCCCCC([*])=O,49.25
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,3.15
[*]CC(C)(C(OCCO)=O)[*],44.09833333
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,19.5
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,1.0
[*]CC(O)[*],117.37
[*]NCCCCCCCCCCC([*])=O,0.283
[*]C(CC(O[*])C)=O,63.18
[*]CC(C)(C(OCC)=O)[*],1.4
FC(F)(C(F)([*])F)[*],16.41333333
[*]C1=CC=C([*])N1,103.6
[*]CC([*])O,217.25
[*]CC([*])C#N,5000.0
[*]CC(C#N)[*],5000.0
[*]OCC[*],149.3444444
[*]CC(C)([*])C,0.88
[*]C(C[*])C1=CC=NC=C1,36.4
CC(C)([*])C1=CC=C(OCN(C(C=C4)=CC=C4OC3=CC=C(N5COC(C=CC([*])=C6)=C6C5)C=C3)C2)C2=C1,0.735625
[*]OC(C([*])=O)C,600.975
[*]CCO[*],59.66666667
[*]CC(C(O)=O)[*],65.0
[*]OCC(C)O[*],3.05
[*]OCC[*],4.8
[*]OC1=CC=C(C(C2=CC=C(C(C3=CC=C([*])C=C3)=O)C=C2)=O)C=C1,3.0
[*]C2=NC1=CC(N=C(C4=CC=C([*])C=C4)O3)=C3C=C1O2,0.78
[*]C(C)C[*],1.7875
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,36.58428571
[*]C(C([H])([*])[H])([H])C1=CC=CC=C1,18.85
[*]NCCCCCC([*])=O,3.7275
O=C([*])C1=CC=C(C(OCCCO[*])=O)O1,3.0
[H][C@@]1(C[*])C([H])(CO)O[C@](CO[*])([H])[C@@]([H])(NC(C)=O)[C@@](O)1[H],71.0
[*]C/C(C)=C/C[*],488.0
[*]CC(F)([*])F,0.04
[*]/C=C/C1=CC=C([*])C=C1,19.1
[*]OC([H])(C)C([*])=O,2.1
[*]N(CCCCCC([*])=O)[H],5.26
[*]CC(C(N(C)C)=O)[*],21.0
[*]C([c@@]4ccccc4)C[C@@H]([c@@]3ccccc3)CC(C[C@@H]([c@@]2ccccc2)C[*])[c@@]1ccccc1,600.0
[*]CC(C)(C(OC)=O)[*],0.073333333
[*]C([H])([H])C(F)([*])F,0.765
[*]C(C)C(O[*])=O,0.8
C/C(C[*])=C(C[*])\[H],8.433333333
OC1=C(O)C([*])=C2C(NC=C2)=C1[*],23.65
[*]CC(C(NC(C)C)=O)[*],149.2833333
[*]C(F)(C(F)(C(F)(C(F)([*])F)OC(F)(F)C(F)(F)C(F)(F)F)F)F,7.8
[*]CC(CC(C)C)[*],0.073333333
[*]CC(C(NC(C)C)=O)[*],80.95
[*]N([H])CCCCCC([*])=O,5.433333333
[*]C(C[*])C1=CC=CC=C1,1.98
[*]OCCCCCC([*])=O,1.75
